text,Lang
"For the first time in her 68-year reign, the Queen will not be in attendance as Royal Ascot begins behind closed doors,
Strict coronavirus protocols mean racehorse owners are not allowed at the Berkshire track for Britain's biggest flat racing fixture and the Queen is set to watch the action from nearby Windsor Castle.
Punters who would usually attend the five-day meeting, which normally attracts a total of nearly 300,000 spectators, are being urged to wear a hat, dress up at home and make a donation to frontline charities.
The first race, the Buckingham Palace Handicap, was due off at 13:15 BST with Frankie Dettori aboard favourite Daarik.
The footballer Marcus Rashford, who’s been - successfully - campaigning for the government to extend free school meal vouchers over the summer in England, tweeted this morning asking people to “take a second to think about parents who have had their water turned off during lockdown”.
As we've reported, Work and Pensions Secretary Therese Coffey replied: “Water cannot be disconnected though.”
So, what does the law say?",ORO
"'Namoonni ofiisaanii gabaasa taasisuun, kanneen dhukkubichaan qabaman ammoo kunuunsa gaariin kan kennamuuf ta'u mul'isuun barbaachisaadha.""
""Kanneen jidduugalawwan adda baafamuun keessa turaniitti namoonni kabajaan tajaajiila argataa akka jiran yoo hubatamee namoonni hedduun ofiin gabaasa taasiisuuf ni kaka'u.''
Lola koronaavaayirasii waliin addunyaan itti jirtu keessatti argannoon kun boqonnaa haaraadha jedhan ogeeyyiin UK.
Carraa du'aa dhukkubsattoota meeshaa ittiin harganan ykn veentileetarii jala jiran harka tokko sadaffaan, kanneen oksijiinii jala jiran ammoo carraa du'aa isaanii harka tokko shanaffaan xiqqeessa jedhame.
Qorichi kun qaama sagantaa yaalii qorichooti duraan turan koronaavaayirasiif dalaguun isaanii yaalamaa jiruuti.
Qorichi kun osoo akkuma weerarri vaayirasichaa mudateen hojiirra ooluu eegalee silaa UK keessatti qofa lubbuu nama 5000 baraaruun ni danda'ama ture jedhu qorattoonni.
Qorichichi rakasa waan ta'eef biyyoota hiyyeeyyii vaayirasichaan wal'aansoo jabaatti jiran haalaan gargaaruu danda'as jedhame.
Dhukkubsattoota Covid-19 20 keessaa 19 osoo gara hospitaalaa hin deemiin wayyaa'u.",ORO
"The only other drug proven to benefit Covid patients is remdesivir, an antiviral treatment that has been used for Ebola.
That has been shown to reduce the duration of coronavirus symptoms from 15 days to 11, but the evidence was not strong enough to show whether it reduced mortality. Unlike dexamethasone, remdesivir is a new drug with limited supplies and a price has yet to be announced.
Marcus Rashford has responded to the UK government's plans to extend a free meal scheme for families in England, following his campaign.
In a tweet, the Manchester United and England forward, 22, wrote: ""Just look at what we can do when we come together, THIS is England in 2020.""
UK Prime Minister Boris Johnson has welcomed Mr Rashford's ""contribution to the debate around poverty"" after the U-turn was announced.
",ENG
"Itoophiyaa keessatti namoonni kan vaayirasichaan qabamee waliin hidhata qaban, kanneen seenaa imala biyya biraa qaban fi namoota bakka adda baafamuun keessa tursiifaman keessatti argaman adda dureen qoratamu ture.
Aammaan tana dhukkubichi haalaan hawaasicha keessatti waan babal'ateef lakkoofsi namoota qoratamanii haaluma dabaluun kanneen qabamunsaanii baramuus ni dabala jedhu ogeessi kun.
''Baay'inni lakkoofsa namoota vaayirasichaan qabamanii hawaasa keessa jiran kan nuti yaadnuun ol ta'u mala. Osoo namni hundi qoratamee ammoo hedduutu barama ture,'' jechuun himu.
Kana malees wayita ammaa kanatti gaaffilee 'abdiin dhukkubicha sadarkaa tokkorratti itti dhaabuun danda'amu ni jiraataa moo to'annoon ala waan ta'e fakkaata?' jedhan deebiisuuf baay'ee rakkisaadha jedhu.
''Baay'ee nama soodaachisa.",ORO
"The first drug proven to cut deaths from Covid-19 is not some new, expensive medicine but an old, cheap-as-chips steroid.
That is something to celebrate because it means patients across the world could benefit immediately. That's why the topline results of this trial have been rushed out because the implications are so huge globally.
Dexamethasone has been used since the early 1960s to treat a wide range of conditions, such as rheumatoid arthritis and asthma. Half of all Covid patients who require a ventilator do not survive, so cutting that risk by a third would have a huge impact.
The drug is given intravenously in intensive care, and in tablet form for less seriously ill patients. 

",ENG
"Itoophiyaa keessatti namoonni kan vaayirasichaan qabamee waliin hidhata qaban, kanneen seenaa imala biyya biraa qaban fi namoota bakka adda baafamuun keessa tursiifaman keessatti argaman adda dureen qoratamu ture.
Aammaan tana dhukkubichi haalaan hawaasicha keessatti waan babal'ateef lakkoofsi namoota qoratamanii haaluma dabaluun kanneen qabamunsaanii baramuus ni dabala jedhu ogeessi kun.
''Baay'inni lakkoofsa namoota vaayirasichaan qabamanii hawaasa keessa jiran kan nuti yaadnuun ol ta'u mala. Osoo namni hundi qoratamee ammoo hedduutu barama ture,'' jechuun himu.
Kana malees wayita ammaa kanatti gaaffilee 'abdiin dhukkubicha sadarkaa tokkorratti itti dhaabuun danda'amu ni jiraataa moo to'annoon ala waan ta'e fakkaata?' jedhan deebiisuuf baay'ee rakkisaadha jedhu.
''Baay'ee nama soodaachisa.",ORO
"While economies in Western nations have been reopening after months of lockdown, there is concern about the rate of the spread in Latin America, with Peru reporting nearly 233,000 cases and more than 6,500 deaths, the second-highest numbers on the continent after Brazil.
But no country can lower its guard: New Zealand reported two imported cases, ending a 24-day run of no new infections, and the Chinese capital Beijing is trying to contain a new outbreak.
Many people in urban China live in what are known as xiaoqu, which are micro-districts with a guarded entrance gate.
Representatives operate as a sort of neighbourhood watch: they act partly as security, but also ensure the safety and hygiene of residents by posting public notices and ensuring a degree of general upkeep, ie by monitoring when apartment lifts are cleaned.
This means that many will have help at hand as the city announces its return to “war-time status” amid the fresh outbreak.
More than 100,000 community workers and volunteers are being mobilised to ensure people in 29 locked-down communities and other vulnerable people can get food and other basic supplies, the Xinhua news agency says.
Designated drivers are also being arranged to take people to a specific hospital where all Covid-19 patients can be treated.
China’s Centre for Disease Control and Prevention says that “the next three days will be critical and decisive"".
",ENG
"Itoophiyaa keessatti namoonni kan vaayirasichaan qabamee waliin hidhata qaban, kanneen seenaa imala biyya biraa qaban fi namoota bakka adda baafamuun keessa tursiifaman keessatti argaman adda dureen qoratamu ture.
Aammaan tana dhukkubichi haalaan hawaasicha keessatti waan babal'ateef lakkoofsi namoota qoratamanii haaluma dabaluun kanneen qabamunsaanii baramuus ni dabala jedhu ogeessi kun.
''Baay'inni lakkoofsa namoota vaayirasichaan qabamanii hawaasa keessa jiran kan nuti yaadnuun ol ta'u mala. Osoo namni hundi qoratamee ammoo hedduutu barama ture,'' jechuun himu.
Kana malees wayita ammaa kanatti gaaffilee 'abdiin dhukkubicha sadarkaa tokkorratti itti dhaabuun danda'amu ni jiraataa moo to'annoon ala waan ta'e fakkaata?' jedhan deebiisuuf baay'ee rakkisaadha jedhu.
''Baay'ee nama soodaachisa.",ORO
"The latest report, leaked at the weekend but now formally published, has tried to unpick some of the reasons for this.
It pointed out its original report did not take into account occupation, which could have an impact on whether an individual is exposed to the virus, or pre-existing health conditions, which increase the risk of serious complications.
But it also points out that there is evidence that “historic racism” and poorer experiences of healthcare may mean individuals in BAME groups are less likely to seek care when needed. It says the way coronavirus has been handled has left BAME groups angry, fearful and deeply dismayed.
While it was unable to come to firm conclusions on the cause of the higher risk, it did say that ethnicity, racism and structural disadvantage must be taken more into account going forward.
In particular, it wants to see better data collection, including ethnicity being reported on death certificates, culturally sensitive public health campaigns and risk assessments in the workplace.
Follow our live updates on the Covid-19 pandemic - on the day UK researchers announced a breakthrough treatment: a low-dose steroid called dexamethasone that can cut the risk of death by a third for patients on ventilators.
More than 437,000 people have died worldwide and more than 8m infections have been registered.

",ENG
"Itoophiyaa keessatti namoonni kan vaayirasichaan qabamee waliin hidhata qaban, kanneen seenaa imala biyya biraa qaban fi namoota bakka adda baafamuun keessa tursiifaman keessatti argaman adda dureen qoratamu ture.
Aammaan tana dhukkubichi haalaan hawaasicha keessatti waan babal'ateef lakkoofsi namoota qoratamanii haaluma dabaluun kanneen qabamunsaanii baramuus ni dabala jedhu ogeessi kun.
''Baay'inni lakkoofsa namoota vaayirasichaan qabamanii hawaasa keessa jiran kan nuti yaadnuun ol ta'u mala. Osoo namni hundi qoratamee ammoo hedduutu barama ture,'' jechuun himu.
Kana malees wayita ammaa kanatti gaaffilee 'abdiin dhukkubicha sadarkaa tokkorratti itti dhaabuun danda'amu ni jiraataa moo to'annoon ala waan ta'e fakkaata?' jedhan deebiisuuf baay'ee rakkisaadha jedhu.
''Baay'ee nama soodaachisa.",ORO
"The pandemic is the right time for this decision, he says, because government is already working differently and because the taxpayer needs value for money.
Responding, leader of the Labour party Keir Starmer says this statement is intended as ""a distraction"" from the problems in the government's response to coronavirus, and says ""it will not work"".
He says Dfid is ""one of the best performing government departments"" and asks for its budget to be ""ring-fenced""
Public Health England has finally published its latest report into the impact of coronavirus on black, Asian and minority ethnic (BAME) communities.
At the start of the month, it unveiled a review which found that BAME groups had a higher risk of deaths.

",ENG
" Sababiinsaa reefu yeroo fiixee irra itti gahe hin agarre'' kan jedhan qorataan kun, waan gara fuula duraa ta'uuf jiru tilmaamuun rakkisaa ta'u himu.
Sakatta'iinsa oggeessootni fayyaa taasisaniifi sochii koreen humna addaa hundeeffamee qofti ammoo dhukkubicha ittisuuf gahaa miti jedhu.
Hawwasni mallattoowwan dukkubichaa irratti hubannoo argachuun ofiin akka gabaasa taasisuu jajjabeeffamu qabaata jedhu.
",ORO
"Figures for this week, as some Year 10 and Year 12 pupils started to go back, should be shown in next week's data release.
In the past hour we brought you news from the UK about dexamethasone - a life-saving drug in the treatment of coronavirus.
It's a cheap steroid that has been around since the 1960s, which means it could be used around the world, including in poorer countries where health systems face difficulties in managing outbreaks.
“This is a huge breakthrough in our search for new ways to successfully treat patients with Covid, both in the UK and across the world,"" the medical director of Britain's National Health Service Prof Stephen Powis says.
""From now, we are able to use this drug to dramatically improve Covid-19 survival for people in hospital who require oxygen or ventilation,” he adds.
UK Prime Minister Boris Johnson has been giving a Commons statement on ""global Britain"" and the lessons of the pandemic.
He says one of the key lessons is that aid and foreign policy are ""one and the same"", as saving lives abroad will save lives in the UK.
He says that the Foreign and Commonwealth Office will merge with the Department for International Development (Dfid) to create a new department, the Foreign, Commonwealth and Development Office.
He says the foreign secretary and ambassadors to individual countries will be able to lead policy.

",ENG
"Bu'aan qorannoo maanguddoo kanaa kan baramee erga sirni awwaalchasaanii raawwatameen booda ture.
Kanaan wal qabatees jiraattoonni naannichaafi miseensoonni maatii hundi guyyoota murasaaf sochiirraa ugguramanii turan.
Haala akkasii keessatti namoonni hedduun dhukkubichaaf saaxilamtoota akka ta'aniif carraan isaa hin dabaluu laata? gaaffii jedhu kaasa.
Qorataa Bantiinis carraansaa olaanaa akka ta'e dubbatu.

",ORO
"Bradford Royal Infirmary is one of the many hospitals in the UK that have been taking part in the Recovery trial - short for Randomised Evaluation of Covid-19 Therapy.
A group of travellers arrested on suspicion of violating a quarantine order in Hawaii have agreed to leave the US state.
A member of the group said they had received death threats after they were arrested on suspicion of violating a 14-day quarantine order on all arrivals.
They had reportedly spent two years travelling in Central America before they arrived in Hawaii this month. The 21-person group was later spotted at a beach, according to court documents.
“People started rolling up to our house calling us all types of name,"" Kendra Carter told Associated Press. ""We’ve been getting death threats in our inboxes.""
One member of the group received a suspended jail sentence and the case was then dismissed, local media report.
""We recognise and apologise for the severity of our actions,"" the group said in a statement posted on social media.
About 868,000 children in England went to school last Thursday, according to the latest data published this afternoon by the Department for Education.
Although this was up by a third on the previous Thursday, it still means only 9% of children in the country were in school.
When lockdown was imposed only vulnerable pupils and the children of keyworkers were allowed to go in.
Schools started to re-open to children in Nursery, Reception, Year 1 and Year 6 on 8 June.

",ENG
"Kanneen %14 ta'an ammoo mallattoo dhukkuubbii agarsiisan illeen sadarkaa mana yaalaa deemu qabaniitti baay'ee hin dhukkubsatan ta'a.
Namoonni hafan harka 6 ta'an garuu kanneen deeggarsa wal'aansaa isaan barbaachisuudha. Isaan kana keessaayis kan dhukkubicha irraa bayyanataniifi kan lubbuu ittiin dhaban ni jiraatu jedhu.
''Namni mallattoo dhukubbii hin qabaannee tokko akka namoota biraatti hin dabarsiineef of eeggannoowwan taasifamuu qabaatan jiru. Namni kamuu dhukkubichaan qabamus qabamuu baatus of eeggannoowwan gorfamaa jiran hunda gochu qaba.""
""Fakkeenyaaf yeroo baay'ee harka dhiqachuu, fageenya eeggachuu, wayita qufa'amuutti ciqileen afaaniifi funyaan haguuguu hojiirra olchuun barbaachisaadha.''
Kana duras maanguddoon magaalaa Finfinnee Kutaa Magaalaa Lidataa keessa jiraataa turan tokkos erga du'anii booda vaayirasichaan qabamunsaanii hubatame.
",ORO
"Austria has reopened its border with Italy after weeks of closure following the coronavirus pandemic but a travel warning will be issued for the region of Lombardy, Italy's worst-affected region.
There will be no restrictions for most European Union countries. The country has already reopened its land borders with Germany, Switzerland, Liechtenstein, Slovakia, Slovenia, Hungary and the Czech Republic in a bid to revive the tourism industry.
Foreign Minister Alexander Schallenberg urged travellers to behave responsibly.
""If you're packing your suitcase, please don't forget to take your common sense too,"" he told a press conference.
As we've been hearing, a cheap and widely available steroid has been named as the first drug proven to reduce the risk of dying from Covid-19.
Global trials concluded dexamethasone cut deaths by up to a third among patients suffering the worst effects of the virus.
Responding to the results, the UK government's chief medical officer, Prof Chris Whitty, said it was ""the most important trial result for Covid-19 so far"".
""It will save lives around the world,"" he added in a tweet.

",ENG
"Mana Maree Godina Walaayitaatti Afa-yaa'ii kan ta'an Aadde Abbabech Iraashoo akkaataa heera mootummaa Keewwata 47 irra taa'ee jirutti godinni isaanii mira akka naannootti of hundeessuu qabutti fayyadamuun akka murtee uummataa argatuuf bara 2011 gaaffii dhiyeessee turuu ibsan.
''Manni Maree Naannoo Kibbaa gaaffiin kun dhiyaateefii waggaa tokko keessatti Boordii Filannoo Biyyaalessaa waliin mari'atee filannoo rifarandamii mijeessuun kan irra ture amma deebii homaatuu hin kennine,'' jedhan Aadde Abbabech.
Akka Aadde Abbabech jedhanitti Manni Maree Naannoo Uummattoota Kibbaa bara 2011 keessa yaa'ii idleesaa yeroo lama taa'erratti gaaffiin xalayaadhaanis ta'e qaamaan dhiyaatus, deebii osoo hin argatin tuffatamee bira darbameera.
''Manni marechaa sagalee bakka bu'oota uummataa dhaggeeffachuu fi kabajuuf fedhii hin qabu. Kunimmoo miseensonni walaayitaa bakka bu'an mana marechaarraa amanummaa akka dhaban godheera,'' jedhan.
''Kana waan ta'eef erga dhageettii dhabnee miseensa mana maree kanaa taanee itti fufuun nuufis ta'e uummata bakka buuneef homaa faayidaa hin qabu. Gaaffiin keenya wayita deebii dhabaa deemetti uummata bakka buune biraas fudhatama dhabaa waan dhufneef gara uummataa gorre''
",ORO
"Previously, Prof Alderson had said the backlog in surgical work would be ""gigantic"", with more than 700,000 routine treatments a month affected.
Domestic politicians are the most frequently named source of misinformation - according to the Reuters Institute's Digital News Report.
The survey of more than 80,000 people around the world, showed that 40% were most concerned about politicians.
The report comes after a wave of misleading and false information since the beginning of the coronavirus pandemic.
Politicians took much of the blame in Brazil, the Philippines and the US. Journalists were more likely to be blamed for propagating false claims in countries like South Korea and Greece - but in the US too.
Those in Japan and Taiwan were more concerned about the role of ordinary people in spreading misinformation.

",ENG
"Oggeessoonni fayyaa manarra deemuun ho'a qaamaa safaruu qofti gahaa akka hin taaneefi mallattoowwan dhukkubichaarraatti hawaasichaaf barnoonni hubannoo cimsuu kennamu qabaata.
Hawwasichi wayita mallattoowwan sana arganiitti hatattamaan gara dhaabbata fayyaa dhiheenya isaaniitti argamuu dhaquun akka qorataman jajjabeessuunis barbaachisaadha jedhu
Oggeessoonni fayyaa akka jedhaniitti, namoonni mallattoo osoo hin agarsiisiin dhukkubichaan qabaman tokko tokko ni jiraatu. Isaan kunneen attamiin gara dhaabbata fayyaa deemuun qoratamu danda'u? jechuun oggeessa kanaaf gaaffii dhiyyeessinee turre.
Qorataa Bantii akka jedhanitti, namoonni harka 80 ol ta'an mallattoo dhukkuubaa agarsiisuu dhiisu danda'u. Osoo itti hin beekamnes deebiisanii fayyuu danda'u.
",ORO
"US Vice-President Mike Pence has said the Trump campaign is open to moving its campaign rally to an outdoor location, amid criticism that the large event, scheduled for Saturday in Tulsa, Oklahoma, would put people at risk of coronavirus.
The move would mark a second change for the event - Trump's first rally since the coronavirus crisis triggered lockdowns in March - after it was moved back a day to avoid clashing with the Juneteenth holiday marking the end of slavery.
The governor of Oklahoma said on Monday that he was trying to get the event moved from the 19,000 seat BOK Center in central Tulsa to a larger outdoor venue to allow for more social distancing. At least 20 Trump supporters have already started lining up outside the BOK Center.
The public health director for Tulsa has repeatedly stressed the danger of attending, as coronavirus cases in the region continue to climb daily.
“Regardless who is hosting this rally, we would recommend you not attend large events,” Dr Bruce Dart told the Daily Beast. “If you want to stay safe, don’t go.
Campaign rallies are considered vital for Trump to energise his voters for the November presidential election. The campaign says it will provide temperature checks and face masks to attendees, who also must sign liability forms saying they will not sue the Trump campaign if they fall ill.
It is ""completely unrealistic"" to catch up on the backlog of surgeries within weeks, the president of the Royal College of Surgeons of England has warned.
Prof Derek Alderson told the Commons health and social care committee that the public's confidence had to be restored in having safe operations ""with excellent results, as they enjoyed before the Covid crisis"" - and this would mean putting in place extra precautions.
""I think that dealing with the backlog is not something that's achievable simply in weeks,"" he said.
""This is certainly many months; it may take us a few years to catch up.""
",ENG
"The drug is already used to reduce inflammation in a range of other conditions.
And it appears to help stop some of the damage that can happen when the body's immune system goes into overdrive as it tries to fight off coronavirus.
This over-reaction, a cytokine storm, can be deadly.

",ENG
"Oggeessoonni fayyaa manarra deemuun ho'a qaamaa safaruu qofti gahaa akka hin taaneefi mallattoowwan dhukkubichaarraatti hawaasichaaf barnoonni hubannoo cimsuu kennamu qabaata.
Hawwasichi wayita mallattoowwan sana arganiitti hatattamaan gara dhaabbata fayyaa dhiheenya isaaniitti argamuu dhaquun akka qorataman jajjabeessuunis barbaachisaadha jedhu
Oggeessoonni fayyaa akka jedhaniitti, namoonni mallattoo osoo hin agarsiisiin dhukkubichaan qabaman tokko tokko ni jiraatu. Isaan kunneen attamiin gara dhaabbata fayyaa deemuun qoratamu danda'u? jechuun oggeessa kanaaf gaaffii dhiyyeessinee turre.
Qorataa Bantii akka jedhanitti, namoonni harka 80 ol ta'an mallattoo dhukkuubaa agarsiisuu dhiisu danda'u. Osoo itti hin beekamnes deebiisanii fayyuu danda'u.
",ORO
"It cut the risk of death by a third for patients on ventilators. For those on oxygen, it cut deaths by a fifth.
Had the drug had been used to treat patients in the UK from the start of the pandemic, up to 5,000 lives could have been saved, researchers say.
And it could be of huge benefit in poorer countries with high numbers of Covid-19 patients.
About 19 out of 20 patients with coronavirus recover without being admitted to hospital.
Of those who are admitted, most also recover but some may need oxygen or mechanical ventilation.
And these are the high-risk patients dexamethasone appears to help.
",ENG
"Oggeessoonni fayyaa manarra deemuun ho'a qaamaa safaruu qofti gahaa akka hin taaneefi mallattoowwan dhukkubichaarraatti hawaasichaaf barnoonni hubannoo cimsuu kennamu qabaata.
Hawwasichi wayita mallattoowwan sana arganiitti hatattamaan gara dhaabbata fayyaa dhiheenya isaaniitti argamuu dhaquun akka qorataman jajjabeessuunis barbaachisaadha jedhu
Oggeessoonni fayyaa akka jedhaniitti, namoonni mallattoo osoo hin agarsiisiin dhukkubichaan qabaman tokko tokko ni jiraatu. Isaan kunneen attamiin gara dhaabbata fayyaa deemuun qoratamu danda'u? jechuun oggeessa kanaaf gaaffii dhiyyeessinee turre.
Qorataa Bantii akka jedhanitti, namoonni harka 80 ol ta'an mallattoo dhukkuubaa agarsiisuu dhiisu danda'u. Osoo itti hin beekamnes deebiisanii fayyuu danda'u.
",ORO
"Since 1999, it has been illegal for domestic customers to have their water supplies cut off.
The Citizens Advice Bureau (CAB) says in 2019 it helped 42,000 people in England who had trouble paying their water bills. It has estimated that, during lockdown, almost 7m people are expected to fall behind on water payments. It encourages people to work with water companies and apply for welfare schemes.
What about access to hot water if people are struggling to top up gas or electric prepayment meters?
Energy companies can disconnect supplies for debt reasons, but Ofgem, the energy regulator, says that this only happened six times in 2018.
However, half a million customers entered debt repayment schemes in the same period.
The low-dose steroid treatment dexamethasone is a major breakthrough in the fight against the deadly virus, UK experts say.
The drug is part of  to see if they also work for coronavirus.
",ENG
"Feesbuukiin doolaara biiliyoona 20 baasuun WaatisAppii bara 2014tti bite.WaatisAppiin akka addunyaatti fayyadamtoota biiliyoona lamaa ol qaba.
Lakkoofsi namoota vaayirasichaan qabamuun isaanii erga du'anii booda baramee salphaa miti. Dilbataa Waxabajjii 14, 2020 dhiyaateen qorannoo reeffa jirraattoota magaalaa Finfinnee lamaarratti gaggeeffameen vaayirasichaan qabamusaanii adda bahuun himameera. Namoonni erga du'aniin booda reeffa qorachuudhaan Covid-19n qabamunsaanii adda baasuun waan akeekuu qabaa? Namoonni kunneen hoo kan du'an Covid-19n moo dhukkuba biraatiini? Waa'ee saffisa tamsa'ina dhukkubichaa hoo maal hima? Gaaffiilee kanneeniifi kan biraa qorataa qorataa saayinsii fayyaa Hawaasaafi barsiisaa Fayyaa addunyaa kan ta'aiifi wayita ammaa biyya Siwidiin bakka Maalaaregaalan jedhamu kan jiraa Obboo Bantii Galataaf dhiyeessinee turre
Akka oggeessi kun jedhaniitti qorannoo reeffarratti taasifamuun vaayirasiin qabamuu hubachuun, dhukkubichi haala olaanaa ta'een hawaasa keessa babal'achu mul'isa.
''Gabaasa torban darbe keessa himamee yoo fudhannee namoota du'an 27 keessaa, 11 erga du'aniin booda kan reeffa qorachuun barameedha. Kunis harka 41 kan ta'uudha.""
""Kanneen duraan dhukkuba biraa qaban yoo ta'anillee vaayirasichi akka itti cimu taasisa. Sababiin du'aatii isaanis akkasuma vaayirasicha ykn dhukkuba duraa sana ta'u mala'' jechuun ibsu.
Haa ta'u malee haalli sakatta'iinsa dhukkubichaa hawaasa keessatti gaggeeffamu dadhabaa ta'u himu qorataan kun.
Bu'aan qorannoo reeffarraa argamuus namoonni vaayirasichaan qabamuun hin beekamiin hedduun hawaasa keessa jiraachusaanii kan akeekuudha jedhu.
Gama biraan hawaasni waa'ee mallattoolee vaayirasichaa hubannoo gahaa akka hin qabne akeekallee jedhu.
",ORO
"In a tweet, the Manchester United and England forward, 22, wrote: ""Just look at what we can do when we come together, THIS is England in 2020.""
UK Prime Minister Boris Johnson has welcomed Mr Rashford's ""contribution to the debate around poverty"" after the U-turn was announced.
For the first time in her 68-year reign, the Queen will not be in attendance as Royal Ascot begins behind closed doors,
Strict coronavirus protocols mean racehorse owners are not allowed at the Berkshire track for Britain's biggest flat racing fixture and the Queen is set to watch the action from nearby Windsor Castle.
Punters who would usually attend the five-day meeting, which normally attracts a total of nearly 300,000 spectators, are being urged to wear a hat, dress up at home and make a donation to frontline charities.
The first race, the Buckingham Palace Handicap, was due off at 13:15 BST with Frankie Dettori aboard favourite Daarik.
The footballer Marcus Rashford, who’s been - successfully - campaigning for the government to extend free school meal vouchers over the summer in England, tweeted this morning asking people to “take a second to think about parents who have had their water turned off during lockdown”.
As we've reported, Work and Pensions Secretary Therese Coffey replied: “Water cannot be disconnected though.”
So, what does the law say?
",ENG
